Date,Open,High,Low,Close,Adj Close,Volume
1989-08-01,7.630000,8.060000,7.630000,7.890000,7.890000,0
1989-09-01,7.860000,7.910000,7.530000,7.910000,7.910000,0
1989-10-01,7.890000,7.890000,7.430000,7.770000,7.770000,0
1989-11-01,7.780000,7.870000,7.510000,7.590000,7.590000,0
1989-12-01,7.530000,7.760000,7.530000,7.550000,7.550000,0
1990-01-01,7.580000,7.780000,7.500000,7.740000,7.740000,0
1990-02-01,7.760000,7.820000,7.580000,7.770000,7.770000,0
1990-03-01,7.810000,7.990000,7.760000,7.800000,7.800000,0
1990-04-01,7.780000,7.820000,7.690000,7.790000,7.790000,0
1990-05-01,7.920000,7.920000,7.620000,7.750000,7.750000,0
1990-06-01,7.680000,7.800000,7.660000,7.740000,7.740000,0
1990-07-01,7.740000,7.800000,7.480000,7.490000,7.490000,0
1990-08-01,7.420000,7.590000,7.290000,7.390000,7.390000,0
1990-09-01,7.390000,7.430000,7.140000,7.140000,7.140000,0
1990-10-01,7.130000,7.250000,7.040000,7.110000,7.110000,0
1990-11-01,7.050000,7.100000,7.020000,7.020000,7.020000,0
1990-12-01,7.050000,7.050000,6.440000,6.440000,6.440000,0
1991-01-01,6.460000,6.530000,6.040000,6.190000,6.190000,0
1991-02-01,6.000000,6.040000,5.850000,6.040000,6.040000,0
1991-03-01,6.090000,6.090000,5.740000,5.740000,5.740000,0
1991-04-01,5.760000,5.770000,5.510000,5.510000,5.510000,0
1991-05-01,5.540000,5.540000,5.400000,5.530000,5.530000,0
1991-06-01,5.600000,5.620000,5.540000,5.540000,5.540000,0
1991-07-01,5.580000,5.610000,5.530000,5.530000,5.530000,0
1991-08-01,5.550000,5.550000,5.110000,5.330000,5.330000,0
1991-09-01,5.340000,5.340000,5.110000,5.110000,5.110000,0
1991-10-01,5.100000,5.100000,4.820000,4.820000,4.820000,0
1991-11-01,4.750000,4.760000,4.350000,4.350000,4.350000,0
1991-12-01,4.380000,4.380000,3.740000,3.880000,3.880000,0
1992-01-01,3.860000,3.860000,3.720000,3.840000,3.840000,0
1992-02-01,3.840000,3.960000,3.730000,3.930000,3.930000,0
1992-03-01,4.030000,4.080000,4.010000,4.050000,4.050000,0
1992-04-01,4.010000,4.020000,3.620000,3.700000,3.700000,0
1992-05-01,3.630000,3.740000,3.540000,3.700000,3.700000,0
1992-06-01,3.750000,3.750000,3.570000,3.570000,3.570000,0
1992-07-01,3.550000,3.550000,3.160000,3.180000,3.180000,0
1992-08-01,3.170000,3.170000,3.060000,3.160000,3.160000,0
1992-09-01,3.150000,3.150000,2.690000,2.690000,2.690000,0
1992-10-01,2.610000,3.020000,2.610000,2.960000,2.960000,0
1992-11-01,3.010000,3.270000,3.010000,3.270000,3.270000,0
1992-12-01,3.330000,3.340000,3.080000,3.080000,3.080000,0
1993-01-01,3.080000,3.120000,2.900000,2.900000,2.900000,0
1993-02-01,2.900000,2.960000,2.890000,2.950000,2.950000,0
1993-03-01,2.950000,3.000000,2.890000,2.890000,2.890000,0
1993-04-01,2.900000,2.920000,2.790000,2.910000,2.910000,0
1993-05-01,2.870000,3.070000,2.860000,3.060000,3.060000,0
1993-06-01,3.040000,3.130000,3.030000,3.030000,3.030000,0
1993-07-01,2.990000,3.100000,2.950000,3.030000,3.030000,0
1993-08-01,3.070000,3.080000,2.980000,3.010000,3.010000,0
1993-09-01,3.010000,3.010000,2.900000,2.920000,2.920000,0
1993-10-01,2.920000,3.090000,2.920000,3.030000,3.030000,0
1993-11-01,3.050000,3.150000,3.030000,3.140000,3.140000,0
1993-12-01,3.140000,3.140000,2.980000,3.000000,3.000000,0
1994-01-01,3.010000,3.090000,2.910000,2.970000,2.970000,0
1994-02-01,3.020000,3.440000,3.020000,3.360000,3.360000,0
1994-03-01,3.390000,3.630000,3.390000,3.470000,3.470000,0
1994-04-01,3.610000,3.890000,3.530000,3.860000,3.860000,0
1994-05-01,3.850000,4.300000,3.850000,4.170000,4.170000,0
1994-06-01,4.210000,4.210000,4.080000,4.140000,4.140000,0
1994-07-01,4.130000,4.510000,4.130000,4.270000,4.270000,0
1994-08-01,4.280000,4.650000,4.280000,4.560000,4.560000,0
1994-09-01,4.550000,4.820000,4.480000,4.670000,4.670000,0
1994-10-01,4.650000,5.080000,4.650000,5.020000,5.020000,0
1994-11-01,5.060000,5.590000,5.060000,5.550000,5.550000,0
1994-12-01,5.570000,5.830000,5.370000,5.530000,5.530000,0
1995-01-01,5.550000,5.840000,5.520000,5.840000,5.840000,0
1995-02-01,5.820000,5.890000,5.630000,5.750000,5.750000,0
1995-03-01,5.760000,5.820000,5.640000,5.700000,5.700000,0
1995-04-01,5.690000,5.740000,5.560000,5.690000,5.690000,0
1995-05-01,5.700000,5.730000,5.550000,5.630000,5.630000,0
1995-06-01,5.620000,5.620000,5.330000,5.430000,5.430000,0
1995-07-01,5.420000,5.530000,5.340000,5.420000,5.420000,0
1995-08-01,5.420000,5.490000,5.270000,5.270000,5.270000,0
1995-09-01,5.280000,5.360000,5.170000,5.240000,5.240000,0
1995-10-01,5.270000,5.350000,5.200000,5.310000,5.310000,0
1995-11-01,5.340000,5.440000,5.270000,5.320000,5.320000,0
1995-12-01,5.320000,5.350000,4.830000,4.960000,4.960000,0
1996-01-01,4.940000,5.060000,4.910000,4.910000,4.910000,0
1996-02-01,4.910000,4.910000,4.750000,4.880000,4.880000,0
1996-03-01,4.860000,5.060000,4.840000,5.000000,5.000000,0
1996-04-01,4.990000,5.040000,4.810000,5.010000,5.010000,0
1996-05-01,5.000000,5.060000,4.960000,5.040000,5.040000,0
1996-06-01,5.050000,5.150000,5.020000,5.030000,5.030000,0
1996-07-01,5.040000,5.230000,5.040000,5.180000,5.180000,0
1996-08-01,5.160000,5.180000,4.990000,5.140000,5.140000,0
1996-09-01,5.190000,5.290000,4.850000,4.910000,4.910000,0
1996-10-01,5.010000,5.040000,4.830000,5.010000,5.010000,0
