,Date,S&P_Open,S&P_Close,S&P_Volume,PRIME,t_3m_Close,t_10y_Close,cpi_Value,cpi_MoM%,oil_Price,unemp_rate,PE_Ratio,Div_Ratio,EY_Ratio,CS_Index,vo_Open,vo_Close,GF_Open,GF_Close,GF_Volume,Nas_Open,Nas_Close,Nas_Volume,Nk_Open,Nk_Close,Nk_Volume,fx_Price,fx_change%,Close_t-1,return(%),return_class,Close_t+1,return(%)_t+1,return_class_t+1
3547,2008-08-01,1269.42,1260.31,4684870000.0,5.0,1.63,3.948,218.69,0.1,125.03,6.1,26.83,38.74,3.73,61.2,22.66,22.57,904.9,909.0,1834.0,2326.830078,2310.959961,2312140000.0,13276.570313,13094.589844,135000000.0,1.0271,0.35,1267.38,-0.5578437406302895,-1,1249.01,-0.8966048035800679,-1
3548,2008-07-31,1281.37,1267.38,5346050000.0,5.0,1.635,3.979,219.016,-0.1,124.17,5.8,25.37,38.74,3.94,61.2,22.33,22.940001,906.9,913.9,8550.0,2311.330078,2325.550049,2316510000.0,13410.400391,13376.80957,137000000.0,1.0235,0.06,1284.26,-1.3143755937271178,-1,1260.31,-0.5578437406302895,-1
3549,2008-07-30,1264.52,1284.26,5631330000.0,5.0,1.67,4.048,219.016,-0.1,126.74,5.8,25.37,38.88,3.94,56.4,22.030001,21.209999,917.9,902.9,93759.0,2329.01001,2329.719971,2280940000.0,13267.370117,13367.790039,109000000.0,1.0229,-0.11,1263.2,1.667194426852434,1,1267.38,-1.3143755937271178,-1
3550,2008-07-29,1236.38,1263.2,5414240000.0,5.0,1.68,4.044,219.016,-0.1,122.21,5.8,25.37,38.88,3.94,56.4,24.200001,22.030001,916.2,916.4,147310.0,2274.610107,2319.620117,2274090000.0,13220.330078,13159.450195,106500000.0,1.024,0.15,1234.37,2.335604397384914,1,1284.26,1.667194426852434,1
3551,2008-07-28,1257.76,1234.37,4282960000.0,5.0,1.665,4.018,219.016,-0.1,124.72,5.8,25.37,38.88,3.94,56.4,22.91,24.23,928.8,927.6,28.0,2307.189941,2264.219971,1931230000.0,13407.360352,13353.780273,93600000.0,1.0225,0.26,1257.76,-1.8596552601450278,-1,1263.2,2.335604397384914,1
3552,2008-07-25,1253.51,1257.76,4672560000.0,5.0,1.69,4.111,219.016,-0.1,122.59,5.8,25.37,38.88,3.94,56.4,23.450001,22.91,928.4,926.6,35.0,2294.689941,2310.530029,2045130000.0,13452.370117,13334.759766,109600000.0,1.0198,0.39,1252.54,0.41675315758379194,0,1234.37,-1.8596552601450278,-1
3553,2008-07-24,1283.22,1252.54,6127980000.0,5.0,1.61,4.016,219.016,-0.1,124.62,5.8,25.37,38.88,3.94,56.4,21.309999,23.440001,920.9,922.0,47.0,2329.209961,2280.110107,2499920000.0,13411.280273,13603.30957,126200000.0,1.0158,0.46,1282.19,-2.3124497929324117,-1,1257.76,0.41675315758379194,0
3554,2008-07-23,1278.87,1282.19,6705830000.0,5.0,1.545,4.148,219.016,-0.1,123.73,5.8,25.37,38.88,3.94,56.4,21.23,21.309999,935.0,922.4,203.0,2305.110107,2325.879883,2730180000.0,13259.650391,13312.929688,127300000.0,1.0111,0.32,1277.0,0.4064212999216958,0,1252.54,-2.3124497929324117,-1
3555,2008-07-22,1257.08,1277.0,6180230000.0,5.0,1.5,4.097,219.016,-0.1,127.25,5.8,25.37,38.88,3.94,56.4,24.02,21.18,973.0,948.0,3.0,2256.320068,2303.959961,2510310000.0,12944.55957,13184.959961,112400000.0,1.0079,0.84,1260.0,1.3492063492063493,1,1282.19,0.4064212999216958,0
3556,2008-07-21,1261.82,1260.0,4630640000.0,5.0,1.38,4.067,219.016,-0.1,131.43,5.8,25.37,38.88,3.94,56.4,24.049999,23.049999,964.5,963.1,2.0,2290.75,2279.530029,1859410000.0,12976.219727,12803.700195,113200000.0,0.9995,-0.62,1260.68,-0.05393914395406159,0,1277.0,1.3492063492063493,1
