year_month,S&P_Open,S&P_Close,Close_t-1,return(%),return_class,Close_t+1,t+1_return_class,t_3m_Close,t_10y_Close,cpi_Value,cpi_MoM%,oil_Price,unemp_rate,PE_Ratio,EY_Ratio,Put/Call_Ratio,Div_Ratio,CS_Index
1996-2,636.02,640.43,636.02,0.6933744221879765,1,645.5,1.0,4.8245,5.79315,155.0,0.3,19.0935,5.5,19.1,5.24,1.7343950175028509,26.78,88.5
1996-1,615.93,636.02,615.93,3.2617342879872764,2,640.43,1.0,4.994761904761905,5.632190476190476,154.7,0.2,18.854545454545455,5.6,18.08,5.53,1.7343950175028509,26.66,89.3
1995-12,605.37,615.93,605.37,1.7443877298181187,1,636.02,2.0,5.1405,5.6982,153.9,0.5,19.026500000000002,5.6,18.1,5.53,1.7343950175028509,26.61,91.0
1995-11,581.5,605.37,581.5,4.104901117798796,2,615.93,1.0,5.351904761904762,5.915666666666667,153.7,0.1,17.9925,5.6,17.33,5.77,1.7343950175028509,26.46,88.2
1995-10,584.41,581.5,584.41,-0.49793809140842354,1,605.37,2.0,5.27047619047619,6.027523809523809,153.5,0.1,17.43318181818182,5.5,16.76,5.97,1.7343950175028509,26.3,90.2
1995-9,561.88,584.41,561.88,4.00975297216487,2,581.5,1.0,5.271,6.1850000000000005,153.1,0.3,18.2255,5.6,16.45,6.08,1.7343950175028509,26.25,88.9
1995-8,562.06,561.88,562.06,-0.03202505070632139,1,584.41,2.0,5.390434782608696,6.4783043478260876,152.9,0.1,18.020869565217392,5.7,16.01,6.25,1.7343950175028509,26.17,96.2
1995-7,544.75,562.06,544.75,3.177604405690674,2,561.88,1.0,5.415,6.262449999999999,152.6,0.2,17.325499999999998,5.7,16.07,6.22,1.7343950175028509,26.1,94.4
1995-6,533.4,544.75,533.4,2.1278590176228014,1,562.06,2.0,5.467272727272728,6.150363636363636,152.4,0.1,18.44590909090909,5.6,15.67,6.38,1.7343950175028509,25.96,92.7
1995-5,514.76,533.4,514.71,3.6311709506323835,2,544.75,1.0,5.658636363636364,6.618227272727273,152.1,0.2,19.741818181818182,5.6,15.5,6.45,1.7343950175028509,25.88,89.8
1995-4,500.7,514.71,500.71,2.7960296379141734,1,533.4,2.0,5.645789473684211,7.043947368421053,151.8,0.2,19.896315789473682,5.8,15.31,6.53,1.7343950175028509,25.81,92.5
1995-3,487.39,500.71,487.39,2.732924352161512,1,514.71,1.0,5.720434782608695,7.1921739130434785,151.2,0.4,18.539130434782606,5.4,15.15,6.6,1.7343950175028509,25.77,90.3
1995-2,470.42,487.39,470.42,3.607414650737632,2,500.71,1.0,5.759473684210526,7.457157894736842,150.9,0.2,18.57,5.4,15.11,6.62,1.7343950175028509,25.86,95.1
1995-1,459.21,470.42,459.27,2.4277658022514066,1,487.39,2.0,5.7,7.761238095238094,150.5,0.3,18.039523809523807,5.6,14.89,6.72,1.7343950175028509,25.96,97.6
1994-12,453.55,459.27,453.69,1.2299146994643886,1,470.42,1.0,5.592857142857143,7.80147619047619,150.1,0.3,17.15952380952381,5.5,14.88,6.72,1.7343950175028509,26.07,95.1
1994-11,472.26,453.69,472.35,-3.9504604636392555,0,459.27,1.0,5.280952380952381,7.940142857142857,149.8,0.2,18.069499999999998,5.6,15.62,6.4,1.7343950175028509,25.9,91.6
1994-10,462.69,472.35,462.71,2.083378357934785,1,453.69,0.0,4.9375,7.7223,149.4,0.3,17.716190476190476,5.8,16.32,6.13,1.7343950175028509,25.77,92.7
1994-9,475.49,462.71,475.49,-2.687753685671629,1,472.35,1.0,4.6223809523809525,7.441809523809523,149.3,0.1,17.445714285714285,5.9,17.09,5.85,1.7343950175028509,25.63,91.5
1994-8,458.28,475.49,458.26,3.759874307161877,2,462.71,1.0,4.472608695652174,7.22195652173913,149.0,0.2,18.383478260869566,6.0,17.44,5.73,1.7343950175028509,25.64,91.7
1994-7,444.27,458.26,444.27,3.148985976995973,2,475.49,2.0,4.327,7.2776499999999995,148.4,0.4,19.654500000000002,6.1,17.42,5.74,1.7343950175028509,25.68,89.0
1994-6,456.5,444.27,456.5,-2.679079956188394,1,458.26,2.0,4.131136363636364,7.084454545454546,147.9,0.3,19.06,6.1,18.05,5.54,1.7343950175028509,25.69,91.2
1994-5,450.91,456.5,450.91,1.239715242509586,1,444.27,1.0,4.14,7.172761904761904,147.5,0.3,17.88904761904762,6.1,18.5,5.4,1.7343950175028509,25.7,92.8
1994-4,445.66,450.91,445.77,1.1530609955806903,1,456.5,1.0,3.676315789473684,6.955210526315789,147.2,0.2,16.419999999999998,6.4,19.0,5.26,1.7343950175028509,25.63,92.6
