year_month,S&P_Open,S&P_Close,S&P_Volume,Close_t-1,return(%),return_class,Close_t+1,t+1_return(%),t+1_return_class,t_3m_Close,t_10y_Close,cpi_Value,cpi_MoM%,oil_Price,unemp_rate,PE_Ratio,EY_Ratio,Put/Call_Ratio,R_Open,R_Close,R_Volume,G_Open,G_Close,G_Volume,GF_Open,GF_Close,GF_Volume,Nas_Open,Nas_Close,Nas_Volume,Nk_Open,Nk_Close,Nk_Volume,fx_Price,fx_change%,vo_Open,vo_Close,Div_Ratio,CS_Index
1997-2,786.16,790.82,9715930000.0,786.16,0.5927546555408673,1,757.12,-4.261399559950436,0.0,5.02,6.362,159.7,0.1,22.176315789473687,5.2,20.09,4.98,1.7343864229768438,369.450012,360.049988,9718460000.0,277.0,277.0,332.0,277.0,273.6,4291.0,1383.969971,1309.0,12037800000,18307.949219,18557.0,0,1.3681,1.52,19.889999,21.1,27.86,99.7
1997-1,740.74,786.16,11635830000.0,740.74,6.131706131706125,2,790.82,0.5927546555408673,1.0,5.02,6.362,159.4,0.2,25.13181818181818,5.3,19.53,5.12,1.7343864229768438,362.609985,369.450012,11633910000.0,277.0,277.0,332.0,277.0,273.6,4291.0,1292.650024,1379.849976,14074400000,19364.240234,18330.009766,0,1.3476,-1.69,21.540001,19.469999,27.84,97.4
1996-12,757.02,740.74,9089170000.0,757.02,-2.1505376344085985,0,786.16,6.131706131706125,2.0,5.02,6.362,159.1,0.2,25.228571428571428,5.4,19.19,5.21,1.7343864229768438,354.109985,362.609985,9089170000.0,277.0,277.0,332.0,277.0,273.6,4291.0,1294.780029,1291.030029,11852910000,21034.939453,19361.349609,0,1.3708,1.42,18.66,20.92,27.83,96.9
1996-11,705.27,757.02,8763850000.0,705.27,7.337615381343316,2,740.74,-2.1505376344085985,0.0,5.02,6.362,158.7,0.3,23.705000000000002,5.4,19.45,5.14,1.7343864229768438,340.570007,354.109985,8907810000.0,277.0,277.0,332.0,277.0,273.6,4291.0,1223.719971,1292.609985,10973580000,20498.0,21020.359375,0,1.3516,1.02,17.290001,17.139999,27.69,99.2
1996-10,687.31,705.27,9703670000.0,687.33,2.6100999519881194,2,757.02,7.337615381343316,2.0,4.97,6.629,158.2,0.3,24.87913043478261,5.2,19.0,5.26,1.7343864229768438,346.390015,340.570007,9709340000.0,277.0,277.0,332.0,277.0,273.6,4291.0,1223.72998,1221.51001,12543840000,21532.539063,20466.859375,0,1.338,-1.75,16.9,18.110001,27.59,96.5
1996-9,651.99,687.33,8064070000.0,651.99,5.420328532646211,2,705.27,2.6100999519881194,2.0,5.1,6.626,157.7,0.3,23.9715,5.2,18.75,5.33,1.7343864229768438,333.880005,346.390015,8069760000.0,277.0,277.0,332.0,277.0,273.6,4291.0,1133.300049,1226.920044,10646990000,20186.599609,21556.400391,0,1.3619,-0.47,19.780001,16.950001,27.53,94.7
1996-8,639.95,651.99,7380320000.0,639.95,1.8813969841393803,1,687.33,5.420328532646211,2.0,5.1,6.626,157.2,0.3,21.903181818181817,5.1,18.6,5.38,1.7343864229768438,316.0,333.880005,7380330000.0,277.0,277.0,332.0,277.0,273.6,4291.0,1081.339966,1141.5,9696450000,20665.189453,20166.900391,0,1.3683,-0.49,19.389999,17.01,27.37,95.3
1996-7,670.63,639.95,8849860000.0,670.63,-4.57480279736963,0,651.99,1.8813969841393803,1.0,5.07,6.724,157.0,0.1,21.302272727272726,5.5,18.26,5.48,1.7343864229768438,346.609985,316.0,8215250000.0,277.0,277.0,332.0,277.0,273.6,4291.0,1185.640015,1080.589966,11807920000,22568.429688,20692.830078,0,1.375,0.84,13.83,19.459999,27.18,94.7
1996-6,669.12,670.63,7930840000.0,669.12,0.2256695361071244,1,639.95,-4.57480279736963,0.0,4.97,6.666,156.7,0.2,20.4235,5.3,19.15,5.22,1.7343864229768438,361.850006,346.609985,7928700000.0,277.0,277.0,332.0,277.0,273.6,4291.0,1242.540039,1185.02002,11479100000,21970.560547,22530.75,0,1.3635,-0.38,16.799999,13.68,26.99,92.4
1996-5,654.17,669.12,8921140000.0,654.17,2.285338673433518,2,670.63,0.2256695361071244,1.0,4.97,6.666,156.4,0.2,21.165454545454544,5.6,19.1,5.24,1.7343864229768438,348.279999,361.850006,8921140000.0,277.0,277.0,332.0,277.0,273.6,4291.0,1190.47998,1243.430054,14550600000,22030.75,21956.189453,0,1.3687,0.57,15.89,16.07,26.9,89.4
1996-4,645.5,654.17,8875580000.0,645.5,1.3431448489542928,1,669.12,2.285338673433518,2.0,5.03,6.308,156.1,0.2,23.497142857142858,5.6,18.85,5.3,1.7343864229768438,330.769989,348.279999,8876670000.0,277.0,277.0,332.0,277.0,273.6,4291.0,1105.77002,1190.52002,11951730000,21451.070313,22041.300781,0,1.3609,0.13,18.42,15.83,26.84,92.7
1996-3,640.43,645.5,8984200000.0,640.43,0.791655606389465,1,654.17,1.3431448489542928,1.0,4.86,5.978,155.5,0.4,21.33238095238095,5.5,19.01,5.26,1.7343864229768438,324.929993,330.769989,8984200000.0,277.0,277.0,332.0,277.0,273.6,4291.0,1098.939941,1101.400024,10648850000,20093.779297,21406.849609,0,1.3592,-0.8,17.129999,18.879999,26.84,93.7
1996-2,636.02,640.43,8749960000.0,636.02,0.6933744221879765,1,645.5,0.791655606389465,1.0,4.89,5.601,155.0,0.3,19.0935,5.5,19.1,5.24,1.7343864229768438,315.380005,324.929993,8763020000.0,277.0,277.0,332.0,277.0,273.6,4291.0,1058.26001,1100.050049,10690430000,20806.359375,20125.369141,0,1.3701,-0.25,11.44,17.040001,26.78,88.5
1996-1,615.93,636.02,9188050000.0,615.93,3.2617342879872764,2,640.43,0.6933744221879765,1.0,5.29,5.704,154.7,0.2,18.854545454545455,5.6,18.08,5.53,1.7343864229768438,315.970001,315.380005,9188050000.0,277.0,277.0,332.0,277.0,273.6,4291.0,1052.829956,1059.790039,11326210000,19945.679688,20812.740234,0,1.3735,0.67,13.39,12.53,26.66,89.3
1995-12,605.37,615.93,7697540000.0,605.37,1.7443877298181187,1,636.02,3.2617342879872764,2.0,5.29,5.704,153.9,0.5,19.026500000000002,5.6,18.1,5.53,1.7343864229768438,308.579987,315.970001,7699480000.0,277.0,277.0,332.0,277.0,273.6,4291.0,1060.660034,1052.130005,9972500000,18752.189453,19868.150391,0,1.3643,0.33,11.12,12.52,26.61,91.0
1995-11,581.5,605.37,7602150000.0,581.5,4.104901117798796,2,615.93,1.7443877298181187,1.0,5.32,5.962,153.7,0.1,17.9925,5.6,17.33,5.77,1.7343864229768438,296.25,308.579987,7608370000.0,277.0,277.0,332.0,277.0,273.6,4291.0,1037.300049,1059.199951,9544310000,17622.660156,18744.419922,0,1.3598,1.14,13.98,11.58,26.46,88.2
1995-10,584.41,581.5,8043320000.0,584.41,-0.49793809140842354,1,605.37,4.104901117798796,2.0,5.27,6.21,153.5,0.1,17.43318181818182,5.5,16.76,5.97,1.7343864229768438,310.380005,296.25,8047490000.0,277.0,277.0,332.0,277.0,273.6,4291.0,1041.390015,1036.060059,9660490000,17921.380859,17654.640625,0,1.3445,0.2,12.4,13.83,26.3,90.2
1995-9,561.88,584.41,7052830000.0,561.88,4.00975297216487,2,581.5,-0.49793809140842354,1.0,5.27,6.21,153.1,0.3,18.2255,5.6,16.45,6.08,1.7343864229768438,305.309998,310.380005,7052830000.0,277.0,277.0,332.0,277.0,273.6,4291.0,1019.419983,1043.540039,8983540000,18053.240234,17913.060547,0,1.3418,-0.09,11.15,12.74,26.25,88.9
1995-8,562.06,561.88,7146620000.0,562.06,-0.03202505070632139,1,584.41,4.00975297216487,2.0,5.44,6.489,152.9,0.1,18.020869565217392,5.7,16.01,6.25,1.7343864229768438,299.730011,305.309998,7148810000.0,277.0,277.0,332.0,277.0,273.6,4291.0,1001.570007,1020.109985,9872930000,16644.740234,18117.220703,0,1.343,-1.61,13.44,11.52,26.17,96.2
1995-7,544.75,562.06,7307960000.0,544.75,3.177604405690674,2,561.88,-0.03202505070632139,1.0,5.51,6.185,152.6,0.2,17.325499999999998,5.7,16.07,6.22,1.7343864229768438,283.630005,299.720001,7303150000.0,277.0,277.0,332.0,277.0,273.6,4291.0,933.98999,1001.210022,9056140000,14519.400391,16677.529297,0,1.365,-0.52,11.36,13.49,26.1,94.4
1995-6,533.4,544.75,7555650000.0,533.4,2.1278590176228014,2,562.06,3.177604405690674,2.0,5.51,6.185,152.4,0.1,18.44590909090909,5.6,15.67,6.38,1.7343864229768438,270.25,283.630005,7553110000.0,277.0,277.0,332.0,277.0,273.6,4291.0,865.669983,933.450012,8795140000,15480.570313,14517.400391,0,1.3721,0.15,12.16,11.38,25.96,92.7
